,label,text,name
1914,1,"From: dtate+@pitt.edu (David M. Tate)
Subject: Re: HBP? BB? BIG-CAT?
Distribution: na
Organization: Department of Industrial Engineering
Lines: 63

kubey@sgi.com (Ken Kubey) said:

>I suppose a foul ball machine (like Brett Butler) is pretty valuable,
>but I'd rather watch (and root for) the lower OBP guys who can
>actually hit the ball.

Now *this* is a legitimate point.  Baseball is entertainment, and I have no
quarrel with people who find certain styles of play more entertaining than
others, regardless of their win-value.  Personally, I'm a huge fan of the
slug-bunt; I doubt it's a high-percentage play, but I get a big kick out of
it.  I am willing to live with the bad consequences in exchange for the fun.

Of course, this is *not* the same as claiming (as some do) that Galarraga's
inability to defer gratification isn't hurting his team because he ""isn't
paid to walk"" or ""is an RBI guy"" or whatever.

>And finally, I'd like to point out that many high OBP guys draw 
>their walks more because pitchers are afraid to throw a strike
>to them, than because they have a great ""eye""

I'm not sure.  I used to think this was true, but more and more I'm becoming
convinced that it's the other way around: among players with the physical
ability to hit the ball real hard, the patient ones are the ones who get the
chance to do it a lot.

Let's break down the four basic categories of hitter, according to whether
they are power threats and whether they walk a lot:


			Power			No Power

	Patient		Frank Thomas		Brett Butler
			Barry Bonds		Ozzie Smith
			Mark McGwire		Craig Grebeck
			Babe Ruth		Miller Huggins
			Ted Williams		Billy Hamilton
			Rickey Henderson	Eddie Joost
			Joe Morgan		Mike Hargrove
			   .			   .
			   .			   .
			   .			   .

	Impatient	Ernie Banks		Ozzie Guillen
			Dave Kingman		Shawon Dunston
			Joe Carter		Andres Thomas
			George Bell		Jose Lind
			Kirby Puckett		Devon White
	etc.

As far as I can tell, all the categories are full.  It really looks like the
two are independent.  Nobody could possibly be *afraid* of Craig Grebeck at
the plate, and yet he walks quite a lot.  Part of that, undoubtedly, is being
small of stature, but surely major league pitchers can hit that sort of 
target at least 3 times out of 6.  Randy Milligan is an even better example;
he's only shown noticeable power for one (partial) season, but he walks all
over the place, despite his huge strike zone.


-- 
   David M. Tate   (dtate+@pitt.edu) |  Greetings, sir, with bat not quick 
     member IIE, ORSA, TIMS, SABR    |  Hands not soft, eye not discerning
                                     |  And in Denver they call you a slugger?
   ""The Big Catullus"" Galarraga      |  And compare you to my own Mattingly!?
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-test\rec.sport.baseball\104634
2667,2,"From: gene@jackatak.raider.net (Gene Wright)
Subject: Will NASA's Mars Observer Image the Face on Mars?
Organization: Jack's Amazing CockRoach Capitalist Ventures
Lines: 12

All consipiracy theories aside, (they are watching though :-)), will NASA 
try to image the Cydonia region of Mars where the ""Face
"" is? If they can image it with the High resolution camera, it would 
settle the FACE question once and for all. I mean, with a camera that 
will have a pixel resolution of about 6 feet, we'd know whether all this 
stuff is real or imagination. 

Come on JPL and NASA folks, try to image it and settle this thing.

--
     gene@jackatak.raider.net (Gene Wright)
------------jackatak.raider.net   (615) 377-5980 ------------
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-test\sci.space\61569
451,1,"From: ez027993@chip.ucdavis.edu (Gary Built Like Villanueva Huckabay)
Subject: How to speed up games (marginally realistic)
Organization: Chef Dave Koresh's BBQ Pits, Inc. (A subsidiary of LundyCo)
Lines: 30

You want to speed up ballgames?

1.  Enforce the two minutes between innings.  As it is, many fields are
    allowing THREE minutes between them.  Fifteen seconds before 
    TV commercials are gone to, Thirty or so before action begins upon
    the return to the game.  Two minutes, last out to first pitch, or
    a ball is called.

2.  Don't grant time to batters just because they want it.  They may get
    pissed at first, but they'll get in line, once anything the pitcher
    throws while they're adjusting their wristbands is a strike.

3.  Mandate a rule permitting only N seconds between pitches (the current
    rule is too lenient), and then enforce it.  Fifteen seconds is more
    than enough time.  If the pitch isn't released in 15, call it a ball,
    and restart the clock.

Baseball games take about 2:51 in the NL, and just a shade under 3 hours
in the AL.  That's just too damn long.  I don't like to PLAY in 3 hour
games, much less WATCH a game for that long.  My butt falls asleep, and
if I'm watching on TV, I'll channel surf between pitches, catching
colorized versions of Mr. Ed, Leave it to Beaver, and ""Those Wacky
Nieporents"" on Nick at Nite.


-- 
*   Gary Huckabay   * ""You think that's loud enough, a$$hole?""           *
*   ""Movie Rights   * ""Well, if you're having trouble hearing it, sir,   *
*   available thru  *  I'd be happy to turn it up for you.  I didn't     *
*     Ted Frank.""   *  know that many people your age liked King's X.""   *
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-test\rec.sport.baseball\104646
2017,2,"From: henry@zoo.toronto.edu (Henry Spencer)
Subject: Re: Eco-Freaks forcing Space Mining.
Organization: U of Toronto Zoology
Lines: 22

In article <1993Apr21.212202.1@aurora.alaska.edu> nsmca@aurora.alaska.edu writes:
>Here is a way to get the commericial companies into space and mineral
>exploration.
>
>Basically get the eco-freaks to make it so hard to get the minerals on earth.

They aren't going to leave a loophole as glaring as space mining.  Quite a
few of those people are, when you come right down to it, basically against
industrial civilization.  They won't stop with shutting down the mines here;
that is only a means to an end for them now.

The worst thing you can say to a true revolutionary is that his revolution
is unnecessary, that the problems can be corrected without radical change.
Telling people that paradise can be attained without the revolution is
treason of the vilest kind.

Trying to harness these people to support spaceflight is like trying to
harness a buffalo to pull your plough.  He's got plenty of muscle, all
right, but the furrow will go where he wants, not where you want.
-- 
All work is one man's work.             | Henry Spencer @ U of Toronto Zoology
                    - Kipling           |  henry@zoo.toronto.edu  utzoo!henry
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-train\sci.space\61125
1807,2,"From: nickh@CS.CMU.EDU (Nick Haines)
Subject: Re: Vandalizing the sky.
In-Reply-To: todd@phad.la.locus.com's message of Wed, 21 Apr 93 16:28:00 GMT
Originator: nickh@SNOW.FOX.CS.CMU.EDU
Nntp-Posting-Host: snow.fox.cs.cmu.edu
Organization: School of Computer Science, Carnegie Mellon University
	<1993Apr21.162800.168967@locus.com>
Lines: 33

In article <1993Apr21.162800.168967@locus.com> todd@phad.la.locus.com (Todd Johnson) writes:

   As for advertising -- sure, why not?  A NASA friend and I spent one
   drunken night figuring out just exactly how much gold mylar we'd need
   to put the golden arches of a certain American fast food organization
   on the face of the Moon.  Fortunately, we sobered up in the morning.

Hmmm. It actually isn't all that much, is it? Like about 2 million
km^2 (if you think that sounds like a lot, it's only a few tens of m^2
per burger that said organization sold last year). You'd be best off
with a reflective substance that could be sprayed thinly by an
unmanned craft in lunar orbit (or, rather, a large set of such craft).
If you can get a reasonable albedo it would be visible even at new
moon (since the moon itself is quite dark), and _bright_ at full moon.
You might have to abandon the colour, though.

Buy a cheap launch system, design reusable moon -> lunar orbit
unmanned spraying craft, build 50 said craft, establish a lunar base
to extract TiO2 (say: for colour you'd be better off with a sulphur
compound, I suppose) and some sort of propellant, and Bob's your
uncle.  I'll do it for, say, 20 billion dollars (plus changes of
identity for me and all my loved ones). Delivery date 2010.

Can we get the fast-food chain bidding against the fizzy-drink
vendors? Who else might be interested?

Would they buy it, given that it's a _lot_ more expensive, and not
much more impressive, than putting a large set of several-km
inflatable billboards in LEO (or in GEO, visible 24 hours from your
key growth market). I'll do _that_ for only $5bn (and the changes of
identity).

Nick Haines nickh@cmu.edu
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-train\sci.space\61066
1823,1,"From: chyang@engin.umich.edu (Chung Hsiung Yang)
Subject: Re: Seattle BB (was Re: AL Stats and Standings)
Organization: University of Michigan Engineering, Ann Arbor
Lines: 24
Distribution: world
NNTP-Posting-Host: anaphora.engin.umich.edu

In article <1r8rctINN8dd@senator-bedfellow.MIT.EDU> cmk@athena.mit.edu (Charles M Kozierok) writes:
>In article <franjion.735549550@spot.Colorado.EDU> franjion@spot.Colorado.EDU (John Franjione) writes:
> 
>} >	Griffey, well, most of it are intentional walks.  
>} 
>} Are you sure about this?
>
>i'd say pitching around him is more likely.
>

	Yeah, maybe that is more likely.  But from the Mariners-Tigers 
series, it seems like every time there are base runners, the pitchers 
seem to purposely pitch around him or give him a free pass.  The 
funny thing was that Griffey was struggling up until the last game of the
four game series if I remember correctly.

- Chung Yang

>cheers,
>
>-*-
>charles


",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-test\rec.sport.baseball\104977
1840,2,"From: aws@iti.org (Allen W. Sherzer)
Subject: Re: Conference on Manned Lunar Exploration. May 7 Crystal City
Organization: Evil Geniuses for a Better Tomorrow
Distribution: na
Lines: 19

In article <C5rHoC.Fty@news.cso.uiuc.edu> jbh55289@uxa.cso.uiuc.edu (Josh Hopkins) writes:


>I remeber reading the comment that General Dynamics was tied into this, in 
>connection with their proposal for an early manned landing.  Sorry I don't 
>rember where I heard this, but I'm fairly sure it was somewhere reputable. 
>Anyone else know anything on this angle?

If by that you mean anything on the GD approach, there was an article on
it in a recent Avation Week. I don't remember the exact date but it was
recent.

 Allen

-- 
+---------------------------------------------------------------------------+
| Lady Astor:   ""Sir, if you were my husband I would poison your coffee!""   |
| W. Churchill: ""Madam, if you were my wife, I would drink it.""             |
+----------------------56 DAYS TO FIRST FLIGHT OF DCX-----------------------+
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-train\sci.space\61001
1724,2,"From: hathaway@stsci.edu
Subject: Re: HST Servicing Mission Scheduled for 11 Days
Lines: 31
Organization: Space Telescope Science Institute
Distribution: na

In article <1rq3os$64i@access.digex.net>, prb@access.digex.net (Pat) writes:
> In article <3t75nhg@rpi.edu> strider@clotho.acm.rpi.edu (Greg Moore) writes:
> |
> |	As Herny pointed out, you have to develop the thruster.
> |Also, while much lighter, you still have to lift the mass of
> |the thruster to orbit, and then the thruster lifts its own 
> |weight into a higher orbit.  And you take up room in the payload
>>bay.
>>
> 
> a yes,  but the improvement in  boost orbit to the HST is Significant,

I do not understand what you are saying here.  What is improved, what 
is Significant, and what does this have to do with carrying more 
equipment on a servicing mission?  Also, as implied by other posters, why 
do you need to boost the orbit on this mission anyway?  Maybe you have 
something here, but could you please clarify it for us on the net? 

> and  that means you can then carry EDO packs  and enough consumables
> so the SHuttle mission can go on long enough to also fix the
> array tilt motors,  and god knows what else  is going to wear out

From what I've heard, the motors are fine - it is one of the two 
sets of electronics that control the motors that needs a fix.  The 
motors and electronics are separate pieces of hardware.  I expect 
to be corrected if I'm wrong on this. 

> on the HST in the next 9 months.
> 
> pat
> 
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-test\sci.space\61452
573,0,"From: kmr4@po.CWRU.edu (Keith M. Ryan)
Subject: Re: some thoughts.
Organization: Case Western Reserve University
Lines: 24
Distribution: na
NNTP-Posting-Host: b64635.student.cwru.edu

In article <C63AEC.FB3@cbnewsj.cb.att.com> decay@cbnewsj.cb.att.com (dean.kaflowitz) writes:

>The ""R Us"" thing is trademarked.  I don't know if Charles
>Lazarus is dead or alive, but I'd be careful, because with
>a name like Lazarus, he might rise again just to start a
>lawsuit.

	The ""R Us"" is not trademarked, but the ""Backwards R Us"" is, I 
believe.



---

  Speaking of proofs of God, the funniest one I have ever seen was in a
  term paper handed in by a freshman.  She wrote, ""God must exist, because
  he wouldn't be so mean as to make me believe he exists if he really
  doesn't!""  Is this argument really so much worse than the ontological
  proofs of the existence of God provided by Anselm and Descartes, among
  others?

                  Raymond Smullyan
                  [From ""5,000 B.C. and Other Philosophical Fantasies"".]
                  
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-test\alt.atheism\54128
412,0,"From: bil@okcforum.osrhe.edu (Bill Conner)
Subject: Re: some thoughts.
Nntp-Posting-Host: okcforum.osrhe.edu
Organization: Okcforum Unix Users Group
X-Newsreader: TIN [version 1.1 PL9]
Lines: 12

James Felder (spbach@lerc.nasa.gov) wrote:

: Logic alert -  argument from incredulity.  Just because it is hard for you 
: to believe this doesn't mean that it isn't true.  Liars can be very pursuasive
: just look at Koresh that you yourself cite.

This is whole basis of a great many here rejecting the Christian
account of things. In the words of St. Madalyn Murrey-O'Hair, ""Face it
folks, it's just silly ..."". Why is it okay to disbelieve because of
your incredulity if you admit that it's a fallacy?

Bill
",C:\Users\Administrator\scikit_learn_data\20news_home\20news-bydate-train\alt.atheism\53436
